grafana-1  | logger=migrator t=2025-06-25T22:04:34.602035355Z level=debug msg="Skipping migration: Already executed" id="create index IDX_dashboard_provisioning_dashboard_id_name - v2"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602036911Z level=debug msg="Skipping migration: Already executed" id="copy dashboard_provisioning v1 to v2"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602038585Z level=debug msg="Skipping migration: Already executed" id="drop dashboard_provisioning_tmp_qwerty"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.60204039Z level=debug msg="Skipping migration: Already executed" id="Add check_sum column"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602045237Z level=debug msg="Skipping migration: Already executed" id="Add index for dashboard_title"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602058816Z level=debug msg="Skipping migration: Already executed" id="delete tags for deleted dashboards"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602061226Z level=debug msg="Skipping migration: Already executed" id="delete stars for deleted dashboards"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602063014Z level=debug msg="Skipping migration: Already executed" id="Add index for dashboard_is_folder"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602065693Z level=debug msg="Skipping migration: Already executed" id="Add isPublic for dashboard"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602067586Z level=debug msg="Skipping migration: Already executed" id="create data_source table"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602069429Z level=debug msg="Skipping migration: Already executed" id="add index data_source.account_id"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602071852Z level=debug msg="Skipping migration: Already executed" id="add unique index data_source.account_id_name"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602073307Z level=debug msg="Skipping migration: Already executed" id="drop index IDX_data_source_account_id - v1"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.60207496Z level=debug msg="Skipping migration: Already executed" id="drop index UQE_data_source_account_id_name - v1"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.60207659Z level=debug msg="Skipping migration: Already executed" id="Rename table data_source to data_source_v1 - v1"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602078267Z level=debug msg="Skipping migration: Already executed" id="create data_source table v2"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602079738Z level=debug msg="Skipping migration: Already executed" id="create index IDX_data_source_org_id - v2"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.60208124Z level=debug msg="Skipping migration: Already executed" id="create index UQE_data_source_org_id_name - v2"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602083098Z level=debug msg="Skipping migration: Already executed" id="Drop old table data_source_v1 #2"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602084621Z level=debug msg="Skipping migration: Already executed" id="Add column with_credentials"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602086004Z level=debug msg="Skipping migration: Already executed" id="Add secure json data column"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602088149Z level=debug msg="Skipping migration: Already executed" id="Update data_source table charset"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602089896Z level=debug msg="Skipping migration: Already executed" id="Update initial version to 1"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602091567Z level=debug msg="Skipping migration: Already executed" id="Add read_only data column"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602120996Z level=debug msg="Skipping migration: Already executed" id="Migrate logging ds to loki ds"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602123415Z level=debug msg="Skipping migration: Already executed" id="Update json_data with nulls"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602125842Z level=debug msg="Skipping migration: Already executed" id="Add uid column"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602127763Z level=debug msg="Skipping migration: Already executed" id="Update uid value"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602129701Z level=debug msg="Skipping migration: Already executed" id="Add unique index datasource_org_id_uid"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602131512Z level=debug msg="Skipping migration: Already executed" id="add unique index datasource_org_id_is_default"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602133037Z level=debug msg="Skipping migration: Already executed" id="create api_key table"
